name,IUPAC_name,CAS,A,B,C,Tmin,Tmax,C-atoms,H-atoms,O-atoms,density,HoV,kind,RON,MON,SMILES,AT0,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17
TC4H9OH,2-methyl-2-propanol,75-65-0,7.13278,1068.74,168.931,25.82,233.05,4,10,1,0.7156,54.182,alcohol,NA,NA,CC(C)(C)O,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1
NC4H9OH,1-butanol,71-36-3,7.29062,1282.85,173.247,-37,289.9,4,10,1,0.806,43.237,alcohol,98,85,CCCCO,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1
SC4H9OH,2-butanol,78-92-2,7.47492,1314.19,186.51,-114.7,262.86,4,10,1,0.805,42.703,alcohol,107,93,CCC(C)O,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
MF2,2-methylfuran,534-22-5,7.48208,1522,266.078,-66,253.85,5,6,1,0.9075,29.372,furan,103,86.1,Cc1occc1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
NC3H7COCH3,2-pentanone,107-87-9,7.3543,1548.1,243.751,-76.86,287.93,5,10,1,0.802,33.468,ketone,105.7,103.4,CCCC(C)=O,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
C5H10-2,trans-2-pentene,646-04-8,7.05181,1161.52,242.135,-140.26,202.22,5,10,0,0.643,26.252,olefin,NA,NA,CC\\C=C\\C,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0
C5H10-1,1-pentene,109-67-1,7.02741,1132.42,243.136,-163.15,191.63,5,10,0,0.635,25.705,olefin,90.9,77.1,CCCC=C,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
C2H5COC2H5,3-pentanone,96-22-0,7.26062,1460.76,231.531,-38.97,287.8,5,10,1,0.81,33.571,ketone,106.8,99.9,CCC(=O)CC,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0
MB,methylbutanoate,623-42-7,7.20355,1402.13,221.612,-85.8,281.35,5,10,2,0.893,33.298,ester,107.2,105.2,CCCC(=O)OC,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0
NC5H12,n-pentane,109-66-0,7.00877,1134.15,238.678,-129.73,196.5,5,12,0,0.621,25.99,paraffin,62,62,CCCCC,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
